# N0-SQE,   N0-GMV,  N1-SQE,  N1-GMV,  N0-SQE(curl), N0-GMV(curl)
1.21290e-15 1.10035e-15 5.56932e-17 5.11841e-17 1.05394e-15 9.68785e-16
1.16832e-15 1.06015e-15 5.36631e-17 4.93336e-17 1.01375e-15 9.31934e-16
1.12585e-15 1.02185e-15 5.17285e-17 4.75699e-17 9.75482e-16 8.96848e-16
1.08536e-15 9.85331e-16 4.98838e-17 4.58880e-17 9.39035e-16 8.63425e-16
1.04675e-15 9.50502e-16 4.81241e-17 4.42833e-17 9.04302e-16 8.31571e-16
1.00991e-15 9.17267e-16 4.64447e-17 4.27516e-17 8.71185e-16 8.01199e-16
9.74749e-16 8.85538e-16 4.48411e-17 4.12887e-17 8.39596e-16 7.72225e-16
9.41167e-16 8.55231e-16 4.33091e-17 3.98911e-17 8.09450e-16 7.44573e-16
9.09082e-16 8.26270e-16 4.18450e-17 3.85550e-17 7.80667e-16 7.18171e-16
8.78412e-16 7.98582e-16 4.04450e-17 3.72773e-17 7.53175e-16 6.92950e-16
8.49083e-16 7.72101e-16 3.91058e-17 3.60548e-17 7.26904e-16 6.68848e-16
8.21023e-16 7.46761e-16 3.78242e-17 3.48847e-17 7.01790e-16 6.45805e-16
7.94167e-16 7.22505e-16 3.65972e-17 3.37642e-17 6.77770e-16 6.23765e-16
7.68452e-16 6.99275e-16 3.54220e-17 3.26908e-17 6.54788e-16 6.02676e-16
7.43818e-16 6.77019e-16 3.42959e-17 3.16621e-17 6.32791e-16 5.82490e-16
7.20212e-16 6.55687e-16 3.32164e-17 3.06759e-17 6.11728e-16 5.63158e-16
6.97581e-16 6.35234e-16 3.21813e-17 2.97299e-17 5.91551e-16 5.44639e-16
6.75877e-16 6.15615e-16 3.11883e-17 2.88223e-17 5.72215e-16 5.26891e-16
6.55054e-16 5.96789e-16 3.02354e-17 2.79511e-17 5.53679e-16 5.09876e-16
6.35067e-16 5.78717e-16 2.93205e-17 2.71146e-17 5.35903e-16 4.93557e-16
6.15878e-16 5.61362e-16 2.84419e-17 2.63111e-17 5.18850e-16 4.77900e-16
5.97446e-16 5.44690e-16 2.75978e-17 2.55390e-17 5.02484e-16 4.62874e-16
5.79736e-16 5.28668e-16 2.67866e-17 2.47968e-17 4.86772e-16 4.48447e-16
5.62713e-16 5.13265e-16 2.60066e-17 2.40832e-17 4.71683e-16 4.34590e-16
5.46345e-16 4.98453e-16 2.52566e-17 2.33968e-17 4.57187e-16 4.21278e-16
5.30602e-16 4.84203e-16 2.45350e-17 2.27363e-17 4.43256e-16 4.08483e-16
5.15454e-16 4.70490e-16 2.38406e-17 2.21005e-17 4.29864e-16 3.96183e-16
5.00875e-16 4.57289e-16 2.31720e-17 2.14884e-17 4.16985e-16 3.84353e-16
4.86837e-16 4.44576e-16 2.25283e-17 2.08988e-17 4.04597e-16 3.72973e-16
4.73317e-16 4.32330e-16 2.19082e-17 2.03308e-17 3.92676e-16 3.62021e-16
4.60292e-16 4.20530e-16 2.13107e-17 1.97833e-17 3.81202e-16 3.51479e-16
4.47739e-16 4.09157e-16 2.07347e-17 1.92555e-17 3.70154e-16 3.41328e-16
4.35637e-16 3.98190e-16 2.01795e-17 1.87465e-17 3.59513e-16 3.31550e-16
4.23968e-16 3.87612e-16 1.96439e-17 1.82555e-17 3.49262e-16 3.22130e-16
4.12711e-16 3.77408e-16 1.91273e-17 1.77817e-17 3.39383e-16 3.13050e-16
4.01849e-16 3.67559e-16 1.86287e-17 1.73244e-17 3.29860e-16 3.04298e-16
3.91366e-16 3.58052e-16 1.81474e-17 1.68829e-17 3.20677e-16 2.95857e-16
3.81244e-16 3.48872e-16 1.76827e-17 1.64566e-17 3.11821e-16 2.87715e-16
3.71470e-16 3.40004e-16 1.72339e-17 1.60447e-17 3.03276e-16 2.79860e-16
3.62028e-16 3.31437e-16 1.68003e-17 1.56466e-17 2.95030e-16 2.72279e-16
3.52904e-16 3.23157e-16 1.63813e-17 1.52619e-17 2.87070e-16 2.64960e-16
3.44086e-16 3.15153e-16 1.59762e-17 1.48900e-17 2.79384e-16 2.57893e-16
3.35560e-16 3.07413e-16 1.55846e-17 1.45303e-17 2.71962e-16 2.51067e-16
3.27316e-16 2.99927e-16 1.52059e-17 1.41824e-17 2.64791e-16 2.44472e-16
3.19341e-16 2.92684e-16 1.48395e-17 1.38458e-17 2.57862e-16 2.38099e-16
3.11625e-16 2.85676e-16 1.44849e-17 1.35200e-17 2.51165e-16 2.31939e-16
3.04157e-16 2.78891e-16 1.41418e-17 1.32046e-17 2.44690e-16 2.25983e-16
2.96928e-16 2.72323e-16 1.38097e-17 1.28993e-17 2.38429e-16 2.20223e-16
2.89929e-16 2.65961e-16 1.34880e-17 1.26035e-17 2.32374e-16 2.14651e-16
2.83150e-16 2.59799e-16 1.31765e-17 1.23171e-17 2.26515e-16 2.09261e-16
2.76582e-16 2.53828e-16 1.28747e-17 1.20395e-17 2.20846e-16 2.04044e-16
2.70219e-16 2.48041e-16 1.25823e-17 1.17704e-17 2.15358e-16 1.98994e-16
2.64051e-16 2.42431e-16 1.22989e-17 1.15096e-17 2.10046e-16 1.94105e-16
2.58072e-16 2.36992e-16 1.20241e-17 1.12568e-17 2.04901e-16 1.89370e-16
2.52274e-16 2.31717e-16 1.17577e-17 1.10115e-17 1.99919e-16 1.84784e-16
2.46651e-16 2.26600e-16 1.14993e-17 1.07736e-17 1.95092e-16 1.80340e-16
2.41196e-16 2.21634e-16 1.12487e-17 1.05428e-17 1.90415e-16 1.76034e-16
2.35903e-16 2.16816e-16 1.10054e-17 1.03188e-17 1.85882e-16 1.71861e-16
2.30766e-16 2.12138e-16 1.07694e-17 1.01013e-17 1.81488e-16 1.67815e-16
2.25779e-16 2.07597e-16 1.05403e-17 9.89019e-18 1.77227e-16 1.63892e-16
2.20937e-16 2.03186e-16 1.03178e-17 9.68516e-18 1.73095e-16 1.60087e-16
2.16235e-16 1.98902e-16 1.01017e-17 9.48601e-18 1.69088e-16 1.56395e-16
2.11668e-16 1.94740e-16 9.89185e-18 9.29253e-18 1.65199e-16 1.52814e-16
2.07230e-16 1.90696e-16 9.68795e-18 9.10452e-18 1.61426e-16 1.49339e-16
2.02918e-16 1.86765e-16 9.48982e-18 8.92179e-18 1.57765e-16 1.45965e-16
1.98727e-16 1.82943e-16 9.29725e-18 8.74416e-18 1.54210e-16 1.42690e-16
1.94652e-16 1.79227e-16 9.11005e-18 8.57146e-18 1.50758e-16 1.39511e-16
1.90691e-16 1.75614e-16 8.92804e-18 8.40352e-18 1.47407e-16 1.36422e-16
1.86838e-16 1.72099e-16 8.75105e-18 8.24017e-18 1.44152e-16 1.33422e-16
1.83090e-16 1.68679e-16 8.57890e-18 8.08127e-18 1.40989e-16 1.30508e-16
1.79444e-16 1.65351e-16 8.41143e-18 7.92666e-18 1.37916e-16 1.27676e-16
1.75896e-16 1.62112e-16 8.24849e-18 7.77620e-18 1.34930e-16 1.24923e-16
1.72442e-16 1.58959e-16 8.08992e-18 7.62976e-18 1.32028e-16 1.22248e-16
1.69081e-16 1.55889e-16 7.93558e-18 7.48720e-18 1.29206e-16 1.19647e-16
1.65808e-16 1.52900e-16 7.78532e-18 7.34838e-18 1.26462e-16 1.17117e-16
1.62620e-16 1.49988e-16 7.63902e-18 7.21320e-18 1.23794e-16 1.14657e-16
1.59516e-16 1.47151e-16 7.49654e-18 7.08152e-18 1.21199e-16 1.12264e-16
1.56492e-16 1.44387e-16 7.35776e-18 6.95324e-18 1.18675e-16 1.09936e-16
1.53546e-16 1.41694e-16 7.22255e-18 6.82824e-18 1.16218e-16 1.07671e-16
1.50674e-16 1.39069e-16 7.09081e-18 6.70642e-18 1.13828e-16 1.05466e-16
1.47876e-16 1.36509e-16 6.96241e-18 6.58768e-18 1.11501e-16 1.03320e-16
1.45147e-16 1.34014e-16 6.83726e-18 6.47192e-18 1.09236e-16 1.01230e-16
1.42487e-16 1.31580e-16 6.71525e-18 6.35904e-18 1.07031e-16 9.91962e-17
1.39893e-16 1.29207e-16 6.59628e-18 6.24895e-18 1.04884e-16 9.72152e-17
1.37363e-16 1.26891e-16 6.48025e-18 6.14157e-18 1.02793e-16 9.52857e-17
1.34896e-16 1.24632e-16 6.36709e-18 6.03682e-18 1.00756e-16 9.34060e-17
1.32488e-16 1.22427e-16 6.25669e-18 5.93461e-18 9.87719e-17 9.15748e-17
1.30138e-16 1.20276e-16 6.14898e-18 5.83487e-18 9.68384e-17 8.97903e-17
1.27845e-16 1.18175e-16 6.04388e-18 5.73753e-18 9.49543e-17 8.80512e-17
1.25607e-16 1.16125e-16 5.94130e-18 5.64251e-18 9.31179e-17 8.63561e-17
1.23421e-16 1.14122e-16 5.84117e-18 5.54974e-18 9.13278e-17 8.47035e-17
1.21288e-16 1.12166e-16 5.74342e-18 5.45916e-18 8.95827e-17 8.30923e-17
1.19204e-16 1.10256e-16 5.64798e-18 5.37070e-18 8.78810e-17 8.15212e-17
1.17169e-16 1.08390e-16 5.55478e-18 5.28430e-18 8.62216e-17 7.99888e-17
1.15180e-16 1.06567e-16 5.46374e-18 5.19990e-18 8.46030e-17 7.84942e-17
1.13238e-16 1.04785e-16 5.37482e-18 5.11744e-18 8.30242e-17 7.70360e-17
1.11340e-16 1.03043e-16 5.28794e-18 5.03686e-18 8.14839e-17 7.56133e-17
