# N0-SQE,   N0-GMV,  N1-SQE,  N1-GMV,  N0-SQE(curl), N0-GMV(curl)
7.56316e-17 6.82812e-17 1.99945e-17 1.89272e-17 3.46425e-17 3.21949e-17
7.36243e-17 6.64820e-17 1.94791e-17 1.84443e-17 3.36922e-17 3.13132e-17
7.16850e-17 6.47434e-17 1.89807e-17 1.79773e-17 3.27747e-17 3.04618e-17
6.98107e-17 6.30627e-17 1.84988e-17 1.75256e-17 3.18886e-17 2.96396e-17
6.79988e-17 6.14379e-17 1.80325e-17 1.70886e-17 3.10325e-17 2.88451e-17
6.62469e-17 5.98665e-17 1.75814e-17 1.66657e-17 3.02052e-17 2.80775e-17
6.45526e-17 5.83464e-17 1.71448e-17 1.62564e-17 2.94056e-17 2.73354e-17
6.29135e-17 5.68757e-17 1.67222e-17 1.58601e-17 2.86326e-17 2.66181e-17
6.13275e-17 5.54524e-17 1.63129e-17 1.54764e-17 2.78852e-17 2.59243e-17
5.97925e-17 5.40746e-17 1.59165e-17 1.51047e-17 2.71622e-17 2.52533e-17
5.83065e-17 5.27406e-17 1.55326e-17 1.47446e-17 2.64628e-17 2.46042e-17
5.68677e-17 5.14486e-17 1.51605e-17 1.43956e-17 2.57860e-17 2.39760e-17
5.54742e-17 5.01971e-17 1.47999e-17 1.40574e-17 2.51309e-17 2.33679e-17
5.41243e-17 4.89846e-17 1.44504e-17 1.37294e-17 2.44968e-17 2.27793e-17
5.28163e-17 4.78096e-17 1.41115e-17 1.34114e-17 2.38828e-17 2.22093e-17
5.15487e-17 4.66706e-17 1.37828e-17 1.31030e-17 2.32881e-17 2.16573e-17
5.03200e-17 4.55663e-17 1.34640e-17 1.28037e-17 2.27121e-17 2.11225e-17
4.91287e-17 4.44955e-17 1.31546e-17 1.25134e-17 2.21540e-17 2.06043e-17
4.79734e-17 4.34568e-17 1.28544e-17 1.22316e-17 2.16131e-17 2.01022e-17
4.68529e-17 4.24493e-17 1.25630e-17 1.19580e-17 2.10888e-17 1.96154e-17
4.57658e-17 4.14716e-17 1.22801e-17 1.16923e-17 2.05806e-17 1.91435e-17
4.47109e-17 4.05227e-17 1.20054e-17 1.14343e-17 2.00877e-17 1.86859e-17
4.36871e-17 3.96016e-17 1.17386e-17 1.11837e-17 1.96097e-17 1.82420e-17
4.26933e-17 3.87074e-17 1.14794e-17 1.09403e-17 1.91461e-17 1.78115e-17
4.17284e-17 3.78390e-17 1.12276e-17 1.07037e-17 1.86962e-17 1.73937e-17
4.07914e-17 3.69955e-17 1.09829e-17 1.04737e-17 1.82596e-17 1.69883e-17
3.98813e-17 3.61762e-17 1.07450e-17 1.02502e-17 1.78359e-17 1.65948e-17
3.89972e-17 3.53800e-17 1.05138e-17 1.00329e-17 1.74246e-17 1.62128e-17
3.81382e-17 3.46063e-17 1.02890e-17 9.82152e-18 1.70252e-17 1.58419e-17
3.73034e-17 3.38543e-17 1.00704e-17 9.61595e-18 1.66374e-17 1.54816e-17
3.64919e-17 3.31232e-17 9.85770e-18 9.41598e-18 1.62607e-17 1.51317e-17
3.57031e-17 3.24123e-17 9.65082e-18 9.22141e-18 1.58947e-17 1.47918e-17
3.49360e-17 3.17210e-17 9.44953e-18 9.03206e-18 1.55392e-17 1.44615e-17
3.41901e-17 3.10486e-17 9.25365e-18 8.84777e-18 1.51936e-17 1.41405e-17
3.34646e-17 3.03944e-17 9.06299e-18 8.66836e-18 1.48578e-17 1.38285e-17
3.27587e-17 2.97579e-17 8.87739e-18 8.49367e-18 1.45313e-17 1.35252e-17
3.20719e-17 2.91384e-17 8.69667e-18 8.32356e-18 1.42139e-17 1.32303e-17
3.14036e-17 2.85355e-17 8.52069e-18 8.15787e-18 1.39052e-17 1.29435e-17
3.07531e-17 2.79485e-17 8.34928e-18 7.99646e-18 1.36050e-17 1.26646e-17
3.01198e-17 2.73770e-17 8.18231e-18 7.83920e-18 1.33129e-17 1.23932e-17
2.95032e-17 2.68205e-17 8.01963e-18 7.68595e-18 1.30288e-17 1.21292e-17
2.89028e-17 2.62784e-17 7.86111e-18 7.53658e-18 1.27523e-17 1.18723e-17
2.83180e-17 2.57504e-17 7.70661e-18 7.39098e-18 1.24833e-17 1.16223e-17
2.77484e-17 2.52360e-17 7.55601e-18 7.24902e-18 1.22214e-17 1.13789e-17
2.71935e-17 2.47347e-17 7.40919e-18 7.11060e-18 1.19664e-17 1.11420e-17
2.66527e-17 2.42462e-17 7.26603e-18 6.97560e-18 1.17182e-17 1.09113e-17
2.61258e-17 2.37700e-17 7.12642e-18 6.84393e-18 1.14765e-17 1.06866e-17
2.56122e-17 2.33058e-17 6.99026e-18 6.71547e-18 1.12410e-17 1.04678e-17
2.51115e-17 2.28532e-17 6.85743e-18 6.59013e-18 1.10117e-17 1.02547e-17
2.46233e-17 2.24119e-17 6.72784e-18 6.46782e-18 1.07883e-17 1.00470e-17
2.41473e-17 2.19814e-17 6.60139e-18 6.34845e-18 1.05707e-17 9.84468e-18
2.36830e-17 2.15616e-17 6.47799e-18 6.23192e-18 1.03585e-17 9.64749e-18
2.32302e-17 2.11520e-17 6.35754e-18 6.11816e-18 1.01518e-17 9.45531e-18
2.27885e-17 2.07523e-17 6.23996e-18 6.00709e-18 9.95028e-18 9.26797e-18
2.23575e-17 2.03623e-17 6.12516e-18 5.89861e-18 9.75382e-18 9.08533e-18
2.19370e-17 1.99817e-17 6.01307e-18 5.79267e-18 9.56228e-18 8.90724e-18
2.15266e-17 1.96102e-17 5.90360e-18 5.68918e-18 9.37549e-18 8.73358e-18
2.11260e-17 1.92475e-17 5.79667e-18 5.58807e-18 9.19332e-18 8.56420e-18
2.07349e-17 1.88934e-17 5.69223e-18 5.48928e-18 9.01563e-18 8.39898e-18
2.03532e-17 1.85476e-17 5.59018e-18 5.39274e-18 8.84229e-18 8.23780e-18
1.99804e-17 1.82099e-17 5.49048e-18 5.29838e-18 8.67317e-18 8.08053e-18
1.96163e-17 1.78800e-17 5.39304e-18 5.20614e-18 8.50815e-18 7.92707e-18
1.92607e-17 1.75578e-17 5.29781e-18 5.11597e-18 8.34710e-18 7.77731e-18
1.89134e-17 1.72430e-17 5.20472e-18 5.02781e-18 8.18992e-18 7.63113e-18
1.85741e-17 1.69355e-17 5.11372e-18 4.94159e-18 8.03648e-18 7.48843e-18
1.82426e-17 1.66349e-17 5.02474e-18 4.85728e-18 7.88669e-18 7.34911e-18
1.79186e-17 1.63411e-17 4.93774e-18 4.77481e-18 7.74044e-18 7.21308e-18
1.76020e-17 1.60539e-17 4.85265e-18 4.69414e-18 7.59762e-18 7.08024e-18
1.72925e-17 1.57732e-17 4.76944e-18 4.61521e-18 7.45815e-18 6.95051e-18
1.69900e-17 1.54988e-17 4.68804e-18 4.53798e-18 7.32192e-18 6.82378e-18
1.66943e-17 1.52304e-17 4.60840e-18 4.46241e-18 7.18884e-18 6.69999e-18
1.64051e-17 1.49680e-17 4.53049e-18 4.38845e-18 7.05884e-18 6.57905e-18
1.61224e-17 1.47113e-17 4.45425e-18 4.31605e-18 6.93181e-18 6.46088e-18
1.58458e-17 1.44602e-17 4.37964e-18 4.24519e-18 6.80769e-18 6.34540e-18
1.55753e-17 1.42146e-17 4.30662e-18 4.17580e-18 6.68639e-18 6.23254e-18
1.53107e-17 1.39743e-17 4.23515e-18 4.10787e-18 6.56783e-18 6.12223e-18
1.50519e-17 1.37392e-17 4.16518e-18 4.04134e-18 6.45193e-18 6.01440e-18
1.47986e-17 1.35091e-17 4.09667e-18 3.97619e-18 6.33864e-18 5.90898e-18
1.45508e-17 1.32840e-17 4.02959e-18 3.91238e-18 6.22786e-18 5.80590e-18
1.43083e-17 1.30635e-17 3.96391e-18 3.84987e-18 6.11955e-18 5.70511e-18
1.40709e-17 1.28478e-17 3.89958e-18 3.78863e-18 6.01363e-18 5.60654e-18
1.38385e-17 1.26366e-17 3.83657e-18 3.72862e-18 5.91003e-18 5.51013e-18
1.36111e-17 1.24298e-17 3.77485e-18 3.66982e-18 5.80871e-18 5.41583e-18
1.33884e-17 1.22273e-17 3.71438e-18 3.61220e-18 5.70959e-18 5.32358e-18
1.31703e-17 1.20289e-17 3.65514e-18 3.55573e-18 5.61262e-18 5.23333e-18
1.29568e-17 1.18347e-17 3.59709e-18 3.50037e-18 5.51774e-18 5.14502e-18
1.27477e-17 1.16445e-17 3.54020e-18 3.44610e-18 5.42490e-18 5.05860e-18
1.25429e-17 1.14581e-17 3.48445e-18 3.39290e-18 5.33404e-18 4.97403e-18
1.23422e-17 1.12755e-17 3.42980e-18 3.34073e-18 5.24512e-18 4.89126e-18
1.21457e-17 1.10966e-17 3.37622e-18 3.28957e-18 5.15808e-18 4.81023e-18
1.19531e-17 1.09213e-17 3.32370e-18 3.23940e-18 5.07288e-18 4.73092e-18
1.17645e-17 1.07496e-17 3.27221e-18 3.19019e-18 4.98947e-18 4.65326e-18
1.15796e-17 1.05812e-17 3.22172e-18 3.14192e-18 4.90780e-18 4.57723e-18
1.13984e-17 1.04162e-17 3.17220e-18 3.09457e-18 4.82784e-18 4.50278e-18
1.12208e-17 1.02544e-17 3.12364e-18 3.04811e-18 4.74953e-18 4.42987e-18
1.10467e-17 1.00958e-17 3.07601e-18 3.00253e-18 4.67283e-18 4.35846e-18
1.08761e-17 9.94037e-18 3.02929e-18 2.95780e-18 4.59771e-18 4.28851e-18
1.07088e-17 9.78792e-18 2.98345e-18 2.91390e-18 4.52413e-18 4.21999e-18
1.05447e-17 9.63843e-18 2.93848e-18 2.87081e-18 4.45205e-18 4.15287e-18
1.03839e-17 9.49183e-18 2.89435e-18 2.82852e-18 4.38143e-18 4.08710e-18
1.02262e-17 9.34804e-18 2.85106e-18 2.78701e-18 4.31223e-18 4.02266e-18
1.00715e-17 9.20700e-18 2.80856e-18 2.74625e-18 4.24443e-18 3.95952e-18
9.91975e-18 9.06865e-18 2.76686e-18 2.70624e-18 4.17798e-18 3.89763e-18
9.77093e-18 8.93293e-18 2.72593e-18 2.66694e-18 4.11286e-18 3.83698e-18
9.62493e-18 8.79977e-18 2.68575e-18 2.62836e-18 4.04903e-18 3.77752e-18
9.48170e-18 8.66911e-18 2.64630e-18 2.59047e-18 3.98646e-18 3.71925e-18
9.34117e-18 8.54089e-18 2.60757e-18 2.55325e-18 3.92512e-18 3.66211e-18
9.20327e-18 8.41507e-18 2.56955e-18 2.51669e-18 3.86499e-18 3.60610e-18
9.06795e-18 8.29158e-18 2.53221e-18 2.48078e-18 3.80603e-18 3.55117e-18
8.93515e-18 8.17038e-18 2.49554e-18 2.44550e-18 3.74821e-18 3.49731e-18
8.80481e-18 8.05140e-18 2.45953e-18 2.41084e-18 3.69152e-18 3.44449e-18
8.67687e-18 7.93460e-18 2.42416e-18 2.37678e-18 3.63591e-18 3.39269e-18
8.55128e-18 7.81994e-18 2.38942e-18 2.34332e-18 3.58138e-18 3.34188e-18
8.42798e-18 7.70736e-18 2.35529e-18 2.31043e-18 3.52788e-18 3.29204e-18
8.30694e-18 7.59681e-18 2.32176e-18 2.27811e-18 3.47541e-18 3.24315e-18
8.18808e-18 7.48826e-18 2.28882e-18 2.24634e-18 3.42393e-18 3.19518e-18
8.07137e-18 7.38165e-18 2.25645e-18 2.21511e-18 3.37342e-18 3.14812e-18
7.95676e-18 7.27695e-18 2.22465e-18 2.18441e-18 3.32386e-18 3.10194e-18
7.84421e-18 7.17411e-18 2.19339e-18 2.15423e-18 3.27523e-18 3.05662e-18
7.73366e-18 7.07310e-18 2.16267e-18 2.12456e-18 3.22751e-18 3.01215e-18
7.62507e-18 6.97387e-18 2.13248e-18 2.09539e-18 3.18068e-18 2.96850e-18
7.51840e-18 6.87638e-18 2.10281e-18 2.06670e-18 3.13471e-18 2.92566e-18
