# N0-SQE,   N0-GMV,  N1-SQE,  N1-GMV,  N0-SQE(curl), N0-GMV(curl)
4.14036e-15 4.03494e-15 4.83397e-17 4.70744e-17 7.60629e-15 7.39978e-15
4.02636e-15 3.92382e-15 4.69575e-17 4.57304e-17 7.38008e-15 7.17992e-15
3.91658e-15 3.81682e-15 4.56284e-17 4.44379e-17 7.16249e-15 6.96844e-15
3.81083e-15 3.71375e-15 4.43499e-17 4.31946e-17 6.95312e-15 6.76494e-15
3.70894e-15 3.61444e-15 4.31198e-17 4.19985e-17 6.75161e-15 6.56907e-15
3.61072e-15 3.51871e-15 4.19359e-17 4.08472e-17 6.55759e-15 6.38048e-15
3.51603e-15 3.42641e-15 4.07960e-17 3.97390e-17 6.37073e-15 6.19884e-15
3.42470e-15 3.33739e-15 3.96984e-17 3.86717e-17 6.19071e-15 6.02385e-15
3.33658e-15 3.25150e-15 3.86411e-17 3.76437e-17 6.01722e-15 5.85521e-15
3.25155e-15 3.16862e-15 3.76223e-17 3.66532e-17 5.84999e-15 5.69264e-15
3.16945e-15 3.08860e-15 3.66404e-17 3.56985e-17 5.68874e-15 5.53588e-15
3.09018e-15 3.01133e-15 3.56937e-17 3.47782e-17 5.53321e-15 5.38467e-15
3.01361e-15 2.93670e-15 3.47808e-17 3.38907e-17 5.38316e-15 5.23879e-15
2.93963e-15 2.86458e-15 3.39002e-17 3.30347e-17 5.23835e-15 5.09799e-15
2.86813e-15 2.79489e-15 3.30505e-17 3.22088e-17 5.09856e-15 4.96208e-15
2.79900e-15 2.72751e-15 3.22304e-17 3.14116e-17 4.96358e-15 4.83084e-15
2.73216e-15 2.66235e-15 3.14387e-17 3.06421e-17 4.83321e-15 4.70408e-15
2.66750e-15 2.59933e-15 3.06742e-17 2.98990e-17 4.70726e-15 4.58161e-15
2.60494e-15 2.53835e-15 2.99357e-17 2.91813e-17 4.58555e-15 4.46326e-15
2.54440e-15 2.47933e-15 2.92223e-17 2.84880e-17 4.46791e-15 4.34886e-15
2.48579e-15 2.42220e-15 2.85330e-17 2.78181e-17 4.35416e-15 4.23826e-15
2.42904e-15 2.36688e-15 2.78667e-17 2.71707e-17 4.24417e-15 4.13129e-15
2.37407e-15 2.31330e-15 2.72227e-17 2.65450e-17 4.13777e-15 4.02781e-15
2.32082e-15 2.26140e-15 2.66001e-17 2.59401e-17 4.03482e-15 3.92769e-15
2.26922e-15 2.21110e-15 2.59981e-17 2.53552e-17 3.93518e-15 3.83079e-15
2.21921e-15 2.16234e-15 2.54158e-17 2.47896e-17 3.83874e-15 3.73699e-15
2.17071e-15 2.11507e-15 2.48524e-17 2.42424e-17 3.74536e-15 3.64617e-15
2.12369e-15 2.06924e-15 2.43074e-17 2.37131e-17 3.65492e-15 3.55821e-15
2.07808e-15 2.02478e-15 2.37799e-17 2.32009e-17 3.56732e-15 3.47300e-15
2.03382e-15 1.98164e-15 2.32692e-17 2.27051e-17 3.48244e-15 3.39044e-15
1.99088e-15 1.93978e-15 2.27749e-17 2.22251e-17 3.40019e-15 3.31043e-15
1.94919e-15 1.89915e-15 2.22961e-17 2.17604e-17 3.32045e-15 3.23287e-15
1.90872e-15 1.85970e-15 2.18323e-17 2.13103e-17 3.24315e-15 3.15767e-15
1.86942e-15 1.82139e-15 2.13830e-17 2.08743e-17 3.16819e-15 3.08475e-15
1.83125e-15 1.78418e-15 2.09477e-17 2.04518e-17 3.09548e-15 3.01401e-15
1.79416e-15 1.74803e-15 2.05256e-17 2.00424e-17 3.02494e-15 2.94539e-15
1.75812e-15 1.71290e-15 2.01165e-17 1.96455e-17 2.95650e-15 2.87880e-15
1.72310e-15 1.67876e-15 1.97198e-17 1.92607e-17 2.89007e-15 2.81417e-15
1.68905e-15 1.64557e-15 1.93350e-17 1.88876e-17 2.82558e-15 2.75143e-15
1.65593e-15 1.61330e-15 1.89617e-17 1.85256e-17 2.76297e-15 2.69051e-15
1.62373e-15 1.58191e-15 1.85996e-17 1.81746e-17 2.70217e-15 2.63135e-15
1.59241e-15 1.55138e-15 1.82483e-17 1.78340e-17 2.64311e-15 2.57389e-15
1.56193e-15 1.52167e-15 1.79074e-17 1.75037e-17 2.58574e-15 2.51807e-15
1.53227e-15 1.49276e-15 1.75766e-17 1.71831e-17 2.52999e-15 2.46382e-15
1.50340e-15 1.46462e-15 1.72554e-17 1.68720e-17 2.47582e-15 2.41110e-15
1.47529e-15 1.43723e-15 1.69437e-17 1.65701e-17 2.42315e-15 2.35985e-15
1.44792e-15 1.41055e-15 1.66410e-17 1.62770e-17 2.37195e-15 2.31003e-15
1.42126e-15 1.38457e-15 1.63471e-17 1.59924e-17 2.32217e-15 2.26158e-15
1.39530e-15 1.35926e-15 1.60617e-17 1.57162e-17 2.27375e-15 2.21446e-15
1.37000e-15 1.33460e-15 1.57844e-17 1.54479e-17 2.22665e-15 2.16862e-15
1.34534e-15 1.31057e-15 1.55150e-17 1.51873e-17 2.18083e-15 2.12402e-15
1.32131e-15 1.28715e-15 1.52532e-17 1.49341e-17 2.13624e-15 2.08063e-15
1.29788e-15 1.26432e-15 1.49988e-17 1.46881e-17 2.09284e-15 2.03839e-15
1.27504e-15 1.24206e-15 1.47515e-17 1.44490e-17 2.05060e-15 1.99728e-15
1.25276e-15 1.22035e-15 1.45110e-17 1.42167e-17 2.00948e-15 1.95725e-15
1.23103e-15 1.19917e-15 1.42772e-17 1.39908e-17 1.96943e-15 1.91827e-15
1.20983e-15 1.17851e-15 1.40497e-17 1.37711e-17 1.93044e-15 1.88031e-15
1.18915e-15 1.15835e-15 1.38285e-17 1.35575e-17 1.89245e-15 1.84333e-15
1.16896e-15 1.13868e-15 1.36132e-17 1.33496e-17 1.85544e-15 1.80731e-15
1.14925e-15 1.11948e-15 1.34037e-17 1.31475e-17 1.81939e-15 1.77221e-15
1.13002e-15 1.10073e-15 1.31998e-17 1.29508e-17 1.78425e-15 1.73801e-15
1.11123e-15 1.08242e-15 1.30014e-17 1.27594e-17 1.75000e-15 1.70467e-15
1.09288e-15 1.06455e-15 1.28083e-17 1.25732e-17 1.71662e-15 1.67216e-15
1.07496e-15 1.04708e-15 1.26203e-17 1.23920e-17 1.68407e-15 1.64048e-15
1.05745e-15 1.03002e-15 1.24373e-17 1.22157e-17 1.65233e-15 1.60958e-15
1.04035e-15 1.01335e-15 1.22591e-17 1.20440e-17 1.62138e-15 1.57944e-15
1.02363e-15 9.97062e-16 1.20856e-17 1.18769e-17 1.59119e-15 1.55005e-15
1.00728e-15 9.81138e-16 1.19166e-17 1.17143e-17 1.56174e-15 1.52137e-15
9.91306e-16 9.65570e-16 1.17520e-17 1.15559e-17 1.53300e-15 1.49339e-15
9.75684e-16 9.50349e-16 1.15916e-17 1.14016e-17 1.50496e-15 1.46609e-15
9.60406e-16 9.35464e-16 1.14354e-17 1.12514e-17 1.47759e-15 1.43944e-15
9.45463e-16 9.20905e-16 1.12832e-17 1.11051e-17 1.45088e-15 1.41343e-15
9.30845e-16 9.06662e-16 1.11348e-17 1.09625e-17 1.42480e-15 1.38804e-15
9.16542e-16 8.92727e-16 1.09901e-17 1.08235e-17 1.39934e-15 1.36324e-15
9.02545e-16 8.79091e-16 1.08491e-17 1.06881e-17 1.37448e-15 1.33903e-15
8.88847e-16 8.65745e-16 1.07116e-17 1.05561e-17 1.35020e-15 1.31538e-15
8.75437e-16 8.52682e-16 1.05774e-17 1.04273e-17 1.32648e-15 1.29229e-15
8.62309e-16 8.39892e-16 1.04465e-17 1.03018e-17 1.30331e-15 1.26972e-15
8.49453e-16 8.27368e-16 1.03188e-17 1.01793e-17 1.28068e-15 1.24767e-15
8.36864e-16 8.15104e-16 1.01942e-17 1.00598e-17 1.25856e-15 1.22613e-15
8.24532e-16 8.03091e-16 1.00726e-17 9.94325e-18 1.23694e-15 1.20508e-15
8.12452e-16 7.91323e-16 9.95385e-18 9.82949e-18 1.21581e-15 1.18450e-15
8.00615e-16 7.79793e-16 9.83794e-18 9.71846e-18 1.19516e-15 1.16438e-15
7.89017e-16 7.68495e-16 9.72475e-18 9.61007e-18 1.17497e-15 1.14472e-15
7.77649e-16 7.57421e-16 9.61420e-18 9.50425e-18 1.15522e-15 1.12549e-15
7.66506e-16 7.46567e-16 9.50623e-18 9.40091e-18 1.13592e-15 1.10668e-15
7.55581e-16 7.35927e-16 9.40074e-18 9.29998e-18 1.11704e-15 1.08829e-15
7.44870e-16 7.25493e-16 9.29766e-18 9.20138e-18 1.09857e-15 1.07030e-15
7.34366e-16 7.15262e-16 9.19691e-18 9.10503e-18 1.08050e-15 1.05270e-15
7.24063e-16 7.05227e-16 9.09843e-18 9.01087e-18 1.06282e-15 1.03548e-15
7.13957e-16 6.95384e-16 9.00214e-18 8.91882e-18 1.04553e-15 1.01863e-15
7.04042e-16 6.85727e-16 8.90797e-18 8.82882e-18 1.02860e-15 1.00214e-15
6.94313e-16 6.76252e-16 8.81585e-18 8.74079e-18 1.01204e-15 9.86004e-16
6.84766e-16 6.66953e-16 8.72572e-18 8.65468e-18 9.95824e-16 9.70208e-16
6.75395e-16 6.57827e-16 8.63752e-18 8.57042e-18 9.79952e-16 9.54745e-16
6.66196e-16 6.48869e-16 8.55117e-18 8.48794e-18 9.64413e-16 9.39605e-16
6.57166e-16 6.40074e-16 8.46663e-18 8.40720e-18 9.49197e-16 9.24781e-16
6.48298e-16 6.31439e-16 8.38383e-18 8.32812e-18 9.34297e-16 9.10264e-16
6.39591e-16 6.22959e-16 8.30272e-18 8.25066e-18 9.19705e-16 8.96046e-16
6.31038e-16 6.14630e-16 8.22323e-18 8.17476e-18 9.05412e-16 8.82120e-16
6.22637e-16 6.06449e-16 8.14533e-18 8.10038e-18 8.91411e-16 8.68478e-16
6.14384e-16 5.98413e-16 8.06896e-18 8.02745e-18 8.77694e-16 8.55113e-16
6.06275e-16 5.90516e-16 7.99408e-18 7.95593e-18 8.64255e-16 8.42017e-16
5.98306e-16 5.82757e-16 7.92063e-18 7.88578e-18 8.51086e-16 8.29185e-16
5.90475e-16 5.75131e-16 7.84857e-18 7.81695e-18 8.38180e-16 8.16609e-16
5.82777e-16 5.67635e-16 7.77786e-18 7.74939e-18 8.25531e-16 8.04284e-16
5.75209e-16 5.60267e-16 7.70845e-18 7.68306e-18 8.13133e-16 7.92202e-16
5.67770e-16 5.53023e-16 7.64030e-18 7.61792e-18 8.00979e-16 7.80358e-16
5.60454e-16 5.45900e-16 7.57337e-18 7.55392e-18 7.89063e-16 7.68746e-16
5.53260e-16 5.38896e-16 7.50761e-18 7.49103e-18 7.77380e-16 7.57361e-16
5.46184e-16 5.32007e-16 7.44299e-18 7.42921e-18 7.65924e-16 7.46196e-16
5.39224e-16 5.25230e-16 7.37947e-18 7.36842e-18 7.54688e-16 7.35246e-16
5.32377e-16 5.18564e-16 7.31702e-18 7.30863e-18 7.43669e-16 7.24507e-16
5.25641e-16 5.12006e-16 7.25559e-18 7.24979e-18 7.32860e-16 7.13973e-16
5.19012e-16 5.05552e-16 7.19515e-18 7.19187e-18 7.22257e-16 7.03639e-16
5.12489e-16 4.99202e-16 7.13567e-18 7.13484e-18 7.11855e-16 6.93501e-16
5.06069e-16 4.92951e-16 7.07711e-18 7.07867e-18 7.01648e-16 6.83554e-16
4.99749e-16 4.86799e-16 7.01945e-18 7.02333e-18 6.91633e-16 6.73793e-16
4.93528e-16 4.80743e-16 6.96264e-18 6.96878e-18 6.81805e-16 6.64214e-16
4.87403e-16 4.74780e-16 6.90666e-18 6.91499e-18 6.72159e-16 6.54812e-16
4.81372e-16 4.68909e-16 6.85148e-18 6.86193e-18 6.62691e-16 6.45584e-16
4.75433e-16 4.63128e-16 6.79707e-18 6.80956e-18 6.53398e-16 6.36526e-16
4.69584e-16 4.57435e-16 6.74338e-18 6.75787e-18 6.44274e-16 6.27633e-16
4.63823e-16 4.51827e-16 6.69040e-18 6.70681e-18 6.35317e-16 6.18902e-16
4.58148e-16 4.46303e-16 6.63810e-18 6.65637e-18 6.26522e-16 6.10329e-16
4.52557e-16 4.40861e-16 6.58645e-18 6.60651e-18 6.17885e-16 6.01911e-16
4.47049e-16 4.35500e-16 6.53543e-18 6.55721e-18 6.09404e-16 5.93644e-16
4.41622e-16 4.30217e-16 6.48501e-18 6.50844e-18 6.01074e-16 5.85524e-16
4.36274e-16 4.25012e-16 6.43516e-18 6.46019e-18 5.92892e-16 5.77549e-16
4.31003e-16 4.19881e-16 6.38587e-18 6.41243e-18 5.84855e-16 5.69714e-16
