#    L    TT             EE             BB             TE          
  3276   0.156557E+02   0.559248E+00   0.124412E-01  -0.927835E+00
  3277   0.156293E+02   0.557491E+00   0.124285E-01  -0.926070E+00
  3278   0.156023E+02   0.555728E+00   0.124159E-01  -0.924240E+00
  3279   0.155756E+02   0.553958E+00   0.124032E-01  -0.922344E+00
  3280   0.155497E+02   0.552190E+00   0.123906E-01  -0.920455E+00
  3281   0.155225E+02   0.550414E+00   0.123780E-01  -0.918572E+00
  3282   0.154963E+02   0.548652E+00   0.123654E-01  -0.916546E+00
  3283   0.154695E+02   0.546882E+00   0.123529E-01  -0.914599E+00
  3284   0.154436E+02   0.545118E+00   0.123403E-01  -0.912581E+00
  3285   0.154165E+02   0.543353E+00   0.123278E-01  -0.910492E+00
  3286   0.153902E+02   0.541585E+00   0.123153E-01  -0.908256E+00
  3287   0.153634E+02   0.539814E+00   0.123028E-01  -0.906169E+00
  3288   0.153368E+02   0.538062E+00   0.122903E-01  -0.903934E+00
  3289   0.153104E+02   0.536298E+00   0.122779E-01  -0.901697E+00
  3290   0.152835E+02   0.534538E+00   0.122655E-01  -0.899383E+00
  3291   0.152575E+02   0.532788E+00   0.122530E-01  -0.897140E+00
  3292   0.152302E+02   0.531040E+00   0.122406E-01  -0.894743E+00
  3293   0.152031E+02   0.529286E+00   0.122282E-01  -0.892341E+00
  3294   0.151770E+02   0.527541E+00   0.122159E-01  -0.889931E+00
  3295   0.151503E+02   0.525804E+00   0.122035E-01  -0.887438E+00
  3296   0.151231E+02   0.524053E+00   0.121912E-01  -0.884936E+00
  3297   0.150954E+02   0.522324E+00   0.121789E-01  -0.882497E+00
  3298   0.150686E+02   0.520586E+00   0.121666E-01  -0.879897E+00
  3299   0.150413E+02   0.518855E+00   0.121543E-01  -0.877358E+00
  3300   0.150135E+02   0.517123E+00   0.121420E-01  -0.874729E+00
  3301   0.149859E+02   0.515411E+00   0.121298E-01  -0.872084E+00
  3302   0.149585E+02   0.513689E+00   0.121176E-01  -0.869421E+00
  3303   0.149320E+02   0.511987E+00   0.121053E-01  -0.866665E+00
  3304   0.149051E+02   0.510267E+00   0.120931E-01  -0.863963E+00
  3305   0.148776E+02   0.508566E+00   0.120810E-01  -0.861166E+00
  3306   0.148504E+02   0.506876E+00   0.120688E-01  -0.858347E+00
  3307   0.148219E+02   0.505174E+00   0.120567E-01  -0.855429E+00
  3308   0.147945E+02   0.503490E+00   0.120445E-01  -0.852636E+00
  3309   0.147657E+02   0.501815E+00   0.120324E-01  -0.849743E+00
  3310   0.147380E+02   0.500143E+00   0.120203E-01  -0.846822E+00
  3311   0.147105E+02   0.498473E+00   0.120082E-01  -0.843798E+00
  3312   0.146825E+02   0.496812E+00   0.119961E-01  -0.840893E+00
  3313   0.146547E+02   0.495159E+00   0.119841E-01  -0.837883E+00
  3314   0.146265E+02   0.493514E+00   0.119721E-01  -0.834840E+00
  3315   0.145985E+02   0.491870E+00   0.119600E-01  -0.831837E+00
  3316   0.145701E+02   0.490241E+00   0.119480E-01  -0.828725E+00
  3317   0.145419E+02   0.488612E+00   0.119360E-01  -0.825651E+00
  3318   0.145132E+02   0.486997E+00   0.119240E-01  -0.822464E+00
  3319   0.144855E+02   0.485396E+00   0.119121E-01  -0.819312E+00
  3320   0.144566E+02   0.483795E+00   0.119001E-01  -0.816194E+00
  3321   0.144288E+02   0.482199E+00   0.118882E-01  -0.813033E+00
  3322   0.143997E+02   0.480617E+00   0.118762E-01  -0.809828E+00
  3323   0.143708E+02   0.479025E+00   0.118643E-01  -0.806579E+00
  3324   0.143430E+02   0.477462E+00   0.118524E-01  -0.803431E+00
  3325   0.143140E+02   0.475903E+00   0.118405E-01  -0.800161E+00
  3326   0.142860E+02   0.474350E+00   0.118286E-01  -0.796916E+00
  3327   0.142568E+02   0.472816E+00   0.118168E-01  -0.793619E+00
  3328   0.142278E+02   0.471286E+00   0.118049E-01  -0.790345E+00
  3329   0.141991E+02   0.469761E+00   0.117931E-01  -0.787090E+00
  3330   0.141707E+02   0.468247E+00   0.117812E-01  -0.783706E+00
  3331   0.141411E+02   0.466745E+00   0.117694E-01  -0.780346E+00
  3332   0.141132E+02   0.465253E+00   0.117576E-01  -0.776973E+00
  3333   0.140841E+02   0.463773E+00   0.117458E-01  -0.773621E+00
  3334   0.140553E+02   0.462296E+00   0.117340E-01  -0.770304E+00
  3335   0.140260E+02   0.460830E+00   0.117223E-01  -0.766953E+00
  3336   0.139969E+02   0.459374E+00   0.117105E-01  -0.763538E+00
  3337   0.139681E+02   0.457936E+00   0.116988E-01  -0.760154E+00
  3338   0.139381E+02   0.456501E+00   0.116870E-01  -0.756776E+00
  3339   0.139098E+02   0.455076E+00   0.116753E-01  -0.753381E+00
  3340   0.138803E+02   0.453661E+00   0.116636E-01  -0.749967E+00
  3341   0.138503E+02   0.452271E+00   0.116519E-01  -0.746563E+00
  3342   0.138213E+02   0.450876E+00   0.116402E-01  -0.743145E+00
  3343   0.137917E+02   0.449498E+00   0.116286E-01  -0.739718E+00
  3344   0.137624E+02   0.448130E+00   0.116169E-01  -0.736296E+00
  3345   0.137326E+02   0.446771E+00   0.116053E-01  -0.732863E+00
  3346   0.137038E+02   0.445415E+00   0.115936E-01  -0.729432E+00
  3347   0.136744E+02   0.444083E+00   0.115820E-01  -0.725987E+00
  3348   0.136430E+02   0.442753E+00   0.115704E-01  -0.722548E+00
  3349   0.136134E+02   0.441440E+00   0.115588E-01  -0.719114E+00
  3350   0.135839E+02   0.440144E+00   0.115473E-01  -0.715676E+00
  3351   0.135547E+02   0.438850E+00   0.115357E-01  -0.712233E+00
  3352   0.135241E+02   0.437573E+00   0.115241E-01  -0.708798E+00
  3353   0.134938E+02   0.436327E+00   0.115126E-01  -0.705370E+00
  3354   0.134637E+02   0.435069E+00   0.115011E-01  -0.701940E+00
  3355   0.134330E+02   0.433820E+00   0.114896E-01  -0.698507E+00
  3356   0.134032E+02   0.432573E+00   0.114781E-01  -0.695084E+00
  3357   0.133722E+02   0.431350E+00   0.114666E-01  -0.691656E+00
  3358   0.133420E+02   0.430136E+00   0.114551E-01  -0.688243E+00
  3359   0.133120E+02   0.428932E+00   0.114437E-01  -0.684837E+00
  3360   0.132823E+02   0.427752E+00   0.114322E-01  -0.681430E+00
  3361   0.132519E+02   0.426567E+00   0.114208E-01  -0.678049E+00
  3362   0.132210E+02   0.425406E+00   0.114094E-01  -0.674656E+00
  3363   0.131902E+02   0.424254E+00   0.113980E-01  -0.671280E+00
  3364   0.131603E+02   0.423105E+00   0.113866E-01  -0.667912E+00
  3365   0.131291E+02   0.421980E+00   0.113752E-01  -0.664559E+00
  3366   0.130981E+02   0.420858E+00   0.113639E-01  -0.661211E+00
  3367   0.130679E+02   0.419760E+00   0.113525E-01  -0.657869E+00
  3368   0.130372E+02   0.418658E+00   0.113412E-01  -0.654545E+00
  3369   0.130066E+02   0.417573E+00   0.113299E-01  -0.651239E+00
  3370   0.129746E+02   0.416498E+00   0.113186E-01  -0.647942E+00
  3371   0.129443E+02   0.415433E+00   0.113073E-01  -0.644652E+00
  3372   0.129126E+02   0.414386E+00   0.112960E-01  -0.641377E+00
  3373   0.128818E+02   0.413350E+00   0.112848E-01  -0.638123E+00
  3374   0.128512E+02   0.412317E+00   0.112735E-01  -0.634889E+00
  3375   0.128191E+02   0.411302E+00   0.112623E-01  -0.631659E+00
  3376   0.127872E+02   0.410291E+00   0.112511E-01  -0.628447E+00
  3377   0.127562E+02   0.409291E+00   0.112399E-01  -0.625259E+00
  3378   0.127253E+02   0.408303E+00   0.112287E-01  -0.622079E+00
  3379   0.126938E+02   0.407333E+00   0.112175E-01  -0.618923E+00
  3380   0.126623E+02   0.406361E+00   0.112063E-01  -0.615788E+00
  3381   0.126318E+02   0.405415E+00   0.111952E-01  -0.612674E+00
  3382   0.126006E+02   0.404467E+00   0.111840E-01  -0.609572E+00
  3383   0.125687E+02   0.403538E+00   0.111729E-01  -0.606490E+00
  3384   0.125377E+02   0.402607E+00   0.111618E-01  -0.603427E+00
  3385   0.125061E+02   0.401697E+00   0.111507E-01  -0.600388E+00
  3386   0.124753E+02   0.400799E+00   0.111396E-01  -0.597367E+00
  3387   0.124439E+02   0.399908E+00   0.111285E-01  -0.594361E+00
  3388   0.124125E+02   0.399022E+00   0.111174E-01  -0.591394E+00
  3389   0.123798E+02   0.398151E+00   0.111063E-01  -0.588434E+00
  3390   0.123486E+02   0.397286E+00   0.110953E-01  -0.585511E+00
  3391   0.123190E+02   0.396443E+00   0.110843E-01  -0.582609E+00
  3392   0.122873E+02   0.395600E+00   0.110732E-01  -0.579720E+00
  3393   0.122563E+02   0.394764E+00   0.110622E-01  -0.576866E+00
  3394   0.122247E+02   0.393951E+00   0.110512E-01  -0.574032E+00
  3395   0.121946E+02   0.393131E+00   0.110402E-01  -0.571216E+00
  3396   0.121632E+02   0.392342E+00   0.110292E-01  -0.568434E+00
  3397   0.121317E+02   0.391546E+00   0.110182E-01  -0.565677E+00
  3398   0.121003E+02   0.390767E+00   0.110073E-01  -0.562945E+00
  3399   0.120697E+02   0.389998E+00   0.109963E-01  -0.560238E+00
  3400   0.120385E+02   0.389230E+00   0.109854E-01  -0.557563E+00
  3401   0.120079E+02   0.388480E+00   0.109745E-01  -0.554904E+00
  3402   0.119775E+02   0.387733E+00   0.109635E-01  -0.552283E+00
  3403   0.119455E+02   0.386996E+00   0.109526E-01  -0.549678E+00
  3404   0.119144E+02   0.386270E+00   0.109417E-01  -0.547103E+00
  3405   0.118832E+02   0.385548E+00   0.109308E-01  -0.544565E+00
  3406   0.118528E+02   0.384844E+00   0.109200E-01  -0.542050E+00
  3407   0.118224E+02   0.384138E+00   0.109091E-01  -0.539563E+00
  3408   0.117913E+02   0.383443E+00   0.108982E-01  -0.537098E+00
  3409   0.117602E+02   0.382752E+00   0.108874E-01  -0.534669E+00
  3410   0.117298E+02   0.382082E+00   0.108766E-01  -0.532269E+00
  3411   0.116987E+02   0.381417E+00   0.108658E-01  -0.529889E+00
  3412   0.116683E+02   0.380758E+00   0.108549E-01  -0.527530E+00
  3413   0.116371E+02   0.380097E+00   0.108442E-01  -0.525214E+00
  3414   0.116074E+02   0.379450E+00   0.108334E-01  -0.522933E+00
  3415   0.115762E+02   0.378810E+00   0.108226E-01  -0.520673E+00
  3416   0.115464E+02   0.378176E+00   0.108118E-01  -0.518433E+00
  3417   0.115151E+02   0.377550E+00   0.108011E-01  -0.516236E+00
  3418   0.114853E+02   0.376931E+00   0.107904E-01  -0.514066E+00
  3419   0.114554E+02   0.376327E+00   0.107797E-01  -0.511917E+00
  3420   0.114247E+02   0.375717E+00   0.107689E-01  -0.509803E+00
  3421   0.113947E+02   0.375116E+00   0.107583E-01  -0.507717E+00
  3422   0.113646E+02   0.374523E+00   0.107476E-01  -0.505666E+00
  3423   0.113345E+02   0.373932E+00   0.107369E-01  -0.503636E+00
  3424   0.113043E+02   0.373350E+00   0.107263E-01  -0.501642E+00
  3425   0.112747E+02   0.372786E+00   0.107156E-01  -0.499676E+00
  3426   0.112444E+02   0.372210E+00   0.107050E-01  -0.497732E+00
  3427   0.112147E+02   0.371636E+00   0.106944E-01  -0.495823E+00
  3428   0.111849E+02   0.371081E+00   0.106838E-01  -0.493944E+00
  3429   0.111550E+02   0.370523E+00   0.106732E-01  -0.492095E+00
  3430   0.111243E+02   0.369976E+00   0.106626E-01  -0.490275E+00
  3431   0.110942E+02   0.369433E+00   0.106520E-01  -0.488486E+00
  3432   0.110656E+02   0.368895E+00   0.106415E-01  -0.486712E+00
  3433   0.110360E+02   0.368362E+00   0.106310E-01  -0.484983E+00
  3434   0.110057E+02   0.367828E+00   0.106204E-01  -0.483286E+00
  3435   0.109767E+02   0.367299E+00   0.106099E-01  -0.481613E+00
  3436   0.109476E+02   0.366776E+00   0.105994E-01  -0.479965E+00
  3437   0.109184E+02   0.366260E+00   0.105890E-01  -0.478349E+00
  3438   0.108891E+02   0.365743E+00   0.105785E-01  -0.476759E+00
  3439   0.108604E+02   0.365233E+00   0.105680E-01  -0.475218E+00
  3440   0.108316E+02   0.364731E+00   0.105576E-01  -0.473688E+00
  3441   0.108027E+02   0.364229E+00   0.105472E-01  -0.472193E+00
  3442   0.107736E+02   0.363728E+00   0.105368E-01  -0.470726E+00
  3443   0.107445E+02   0.363228E+00   0.105264E-01  -0.469280E+00
  3444   0.107159E+02   0.362737E+00   0.105160E-01  -0.467864E+00
  3445   0.106872E+02   0.362248E+00   0.105056E-01  -0.466491E+00
  3446   0.106585E+02   0.361754E+00   0.104952E-01  -0.465142E+00
  3447   0.106303E+02   0.361269E+00   0.104849E-01  -0.463817E+00
  3448   0.106020E+02   0.360787E+00   0.104745E-01  -0.462515E+00
  3449   0.105743E+02   0.360308E+00   0.104642E-01  -0.461254E+00
  3450   0.105465E+02   0.359833E+00   0.104539E-01  -0.460004E+00
  3451   0.105178E+02   0.359354E+00   0.104436E-01  -0.458803E+00
  3452   0.104897E+02   0.358879E+00   0.104333E-01  -0.457622E+00
  3453   0.104629E+02   0.358400E+00   0.104230E-01  -0.456468E+00
  3454   0.104346E+02   0.357927E+00   0.104128E-01  -0.455336E+00
  3455   0.104068E+02   0.357466E+00   0.104025E-01  -0.454233E+00
  3456   0.103798E+02   0.356995E+00   0.103923E-01  -0.453159E+00
  3457   0.103522E+02   0.356522E+00   0.103820E-01  -0.452109E+00
  3458   0.103251E+02   0.356062E+00   0.103718E-01  -0.451082E+00
  3459   0.102972E+02   0.355600E+00   0.103616E-01  -0.450087E+00
  3460   0.102701E+02   0.355138E+00   0.103514E-01  -0.449118E+00
  3461   0.102435E+02   0.354674E+00   0.103412E-01  -0.448159E+00
  3462   0.102162E+02   0.354210E+00   0.103311E-01  -0.447242E+00
  3463   0.101896E+02   0.353746E+00   0.103209E-01  -0.446345E+00
  3464   0.101631E+02   0.353289E+00   0.103108E-01  -0.445476E+00
  3465   0.101367E+02   0.352832E+00   0.103006E-01  -0.444622E+00
  3466   0.101107E+02   0.352367E+00   0.102905E-01  -0.443782E+00
  3467   0.100847E+02   0.351911E+00   0.102804E-01  -0.442980E+00
  3468   0.100586E+02   0.351441E+00   0.102703E-01  -0.442195E+00
  3469   0.100328E+02   0.350979E+00   0.102602E-01  -0.441435E+00
  3470   0.100072E+02   0.350534E+00   0.102501E-01  -0.440709E+00
  3471   0.998152E+01   0.350067E+00   0.102400E-01  -0.439986E+00
  3472   0.995591E+01   0.349610E+00   0.102300E-01  -0.439292E+00
  3473   0.993037E+01   0.349140E+00   0.102199E-01  -0.438610E+00
  3474   0.990510E+01   0.348679E+00   0.102099E-01  -0.437951E+00
  3475   0.987975E+01   0.348206E+00   0.101999E-01  -0.437300E+00
  3476   0.985467E+01   0.347743E+00   0.101899E-01  -0.436688E+00
  3477   0.982965E+01   0.347275E+00   0.101799E-01  -0.436085E+00
  3478   0.980483E+01   0.346803E+00   0.101699E-01  -0.435508E+00
  3479   0.978014E+01   0.346334E+00   0.101599E-01  -0.434943E+00
  3480   0.975557E+01   0.345860E+00   0.101500E-01  -0.434406E+00
  3481   0.973098E+01   0.345390E+00   0.101400E-01  -0.433882E+00
  3482   0.970666E+01   0.344917E+00   0.101301E-01  -0.433373E+00
  3483   0.968240E+01   0.344439E+00   0.101202E-01  -0.432880E+00
  3484   0.965825E+01   0.343966E+00   0.101103E-01  -0.432404E+00
  3485   0.963430E+01   0.343489E+00   0.101004E-01  -0.431945E+00
  3486   0.961033E+01   0.343002E+00   0.100905E-01  -0.431512E+00
  3487   0.958662E+01   0.342519E+00   0.100806E-01  -0.431085E+00
  3488   0.956289E+01   0.342033E+00   0.100708E-01  -0.430677E+00
  3489   0.953935E+01   0.341545E+00   0.100609E-01  -0.430277E+00
  3490   0.951586E+01   0.341061E+00   0.100511E-01  -0.429892E+00
  3491   0.949256E+01   0.340560E+00   0.100413E-01  -0.429531E+00
  3492   0.946932E+01   0.340056E+00   0.100315E-01  -0.429187E+00
  3493   0.944627E+01   0.339558E+00   0.100217E-01  -0.428840E+00
  3494   0.942327E+01   0.339065E+00   0.100119E-01  -0.428519E+00
  3495   0.940039E+01   0.338555E+00   0.100022E-01  -0.428204E+00
  3496   0.937764E+01   0.338050E+00   0.999242E-02  -0.427903E+00
  3497   0.935502E+01   0.337536E+00   0.998269E-02  -0.427617E+00
  3498   0.933252E+01   0.337020E+00   0.997297E-02  -0.427339E+00
  3499   0.931008E+01   0.336510E+00   0.996326E-02  -0.427079E+00
  3500   0.928777E+01   0.335983E+00   0.995356E-02  -0.426822E+00
  3501   0.926552E+01   0.335455E+00   0.994388E-02  -0.426577E+00
  3502   0.924340E+01   0.334939E+00   0.993421E-02  -0.426351E+00
  3503   0.922149E+01   0.334415E+00   0.992456E-02  -0.426132E+00
  3504   0.919965E+01   0.333860E+00   0.991492E-02  -0.425920E+00
  3505   0.917794E+01   0.333326E+00   0.990529E-02  -0.425716E+00
  3506   0.915637E+01   0.332797E+00   0.989567E-02  -0.425521E+00
  3507   0.913480E+01   0.332261E+00   0.988607E-02  -0.425343E+00
  3508   0.911337E+01   0.331715E+00   0.987648E-02  -0.425167E+00
  3509   0.909209E+01   0.331168E+00   0.986690E-02  -0.424996E+00
  3510   0.907103E+01   0.330613E+00   0.985734E-02  -0.424837E+00
  3511   0.904997E+01   0.330064E+00   0.984779E-02  -0.424684E+00
  3512   0.902906E+01   0.329507E+00   0.983825E-02  -0.424530E+00
  3513   0.900816E+01   0.328948E+00   0.982872E-02  -0.424391E+00
  3514   0.898757E+01   0.328374E+00   0.981921E-02  -0.424252E+00
  3515   0.896691E+01   0.327813E+00   0.980971E-02  -0.424108E+00
  3516   0.894656E+01   0.327237E+00   0.980022E-02  -0.423989E+00
  3517   0.892623E+01   0.326652E+00   0.979075E-02  -0.423865E+00
  3518   0.890599E+01   0.326065E+00   0.978128E-02  -0.423739E+00
  3519   0.888592E+01   0.325478E+00   0.977183E-02  -0.423624E+00
  3520   0.886595E+01   0.324890E+00   0.976239E-02  -0.423508E+00
  3521   0.884615E+01   0.324293E+00   0.975296E-02  -0.423406E+00
  3522   0.882637E+01   0.323702E+00   0.974355E-02  -0.423289E+00
  3523   0.880670E+01   0.323103E+00   0.973415E-02  -0.423180E+00
  3524   0.878713E+01   0.322502E+00   0.972475E-02  -0.423080E+00
  3525   0.876783E+01   0.321893E+00   0.971538E-02  -0.422975E+00
  3526   0.874841E+01   0.321282E+00   0.970601E-02  -0.422873E+00
  3527   0.872917E+01   0.320670E+00   0.969665E-02  -0.422774E+00
  3528   0.871013E+01   0.320049E+00   0.968731E-02  -0.422673E+00
  3529   0.869120E+01   0.319433E+00   0.967798E-02  -0.422569E+00
  3530   0.867224E+01   0.318809E+00   0.966866E-02  -0.422464E+00
  3531   0.865355E+01   0.318175E+00   0.965935E-02  -0.422365E+00
  3532   0.863484E+01   0.317547E+00   0.965005E-02  -0.422258E+00
  3533   0.861625E+01   0.316917E+00   0.964077E-02  -0.422152E+00
  3534   0.859786E+01   0.316270E+00   0.963149E-02  -0.422048E+00
  3535   0.857946E+01   0.315643E+00   0.962223E-02  -0.421937E+00
  3536   0.856126E+01   0.314991E+00   0.961298E-02  -0.421814E+00
  3537   0.854311E+01   0.314345E+00   0.960374E-02  -0.421702E+00
  3538   0.852518E+01   0.313673E+00   0.959452E-02  -0.421586E+00
  3539   0.850724E+01   0.313014E+00   0.958530E-02  -0.421459E+00
  3540   0.848937E+01   0.312352E+00   0.957610E-02  -0.421337E+00
  3541   0.847164E+01   0.311680E+00   0.956691E-02  -0.421190E+00
  3542   0.845397E+01   0.311020E+00   0.955773E-02  -0.421057E+00
  3543   0.843646E+01   0.310349E+00   0.954856E-02  -0.420923E+00
  3544   0.841902E+01   0.309667E+00   0.953941E-02  -0.420782E+00
  3545   0.840165E+01   0.308989E+00   0.953026E-02  -0.420655E+00
  3546   0.838437E+01   0.308307E+00   0.952113E-02  -0.420506E+00
  3547   0.836716E+01   0.307621E+00   0.951201E-02  -0.420336E+00
  3548   0.835004E+01   0.306932E+00   0.950291E-02  -0.420176E+00
  3549   0.833301E+01   0.306238E+00   0.949381E-02  -0.420002E+00
  3550   0.831614E+01   0.305547E+00   0.948473E-02  -0.419830E+00
  3551   0.829921E+01   0.304844E+00   0.947566E-02  -0.419655E+00
  3552   0.828253E+01   0.304137E+00   0.946660E-02  -0.419460E+00
  3553   0.826572E+01   0.303432E+00   0.945755E-02  -0.419268E+00
  3554   0.824915E+01   0.302722E+00   0.944852E-02  -0.419066E+00
  3555   0.823261E+01   0.302014E+00   0.943949E-02  -0.418861E+00
  3556   0.821618E+01   0.301287E+00   0.943048E-02  -0.418638E+00
  3557   0.819985E+01   0.300576E+00   0.942148E-02  -0.418414E+00
  3558   0.818348E+01   0.299844E+00   0.941250E-02  -0.418172E+00
  3559   0.816729E+01   0.299129E+00   0.940352E-02  -0.417936E+00
  3560   0.815107E+01   0.298401E+00   0.939456E-02  -0.417684E+00
  3561   0.813504E+01   0.297673E+00   0.938561E-02  -0.417431E+00
  3562   0.811905E+01   0.296940E+00   0.937667E-02  -0.417170E+00
  3563   0.810304E+01   0.296207E+00   0.936774E-02  -0.416901E+00
  3564   0.808722E+01   0.295475E+00   0.935883E-02  -0.416617E+00
  3565   0.807138E+01   0.294729E+00   0.934993E-02  -0.416325E+00
  3566   0.805560E+01   0.293983E+00   0.934104E-02  -0.416026E+00
  3567   0.803995E+01   0.293238E+00   0.933216E-02  -0.415712E+00
  3568   0.802428E+01   0.292492E+00   0.932329E-02  -0.415392E+00
  3569   0.800876E+01   0.291746E+00   0.931443E-02  -0.415064E+00
  3570   0.799337E+01   0.290992E+00   0.930559E-02  -0.414731E+00
  3571   0.797791E+01   0.290238E+00   0.929676E-02  -0.414383E+00
  3572   0.796244E+01   0.289482E+00   0.928794E-02  -0.414021E+00
  3573   0.794713E+01   0.288726E+00   0.927913E-02  -0.413660E+00
  3574   0.793189E+01   0.287968E+00   0.927033E-02  -0.413285E+00
  3575   0.791674E+01   0.287209E+00   0.926155E-02  -0.412890E+00
  3576   0.790159E+01   0.286448E+00   0.925277E-02  -0.412495E+00
  3577   0.788653E+01   0.285678E+00   0.924401E-02  -0.412087E+00
  3578   0.787148E+01   0.284921E+00   0.923526E-02  -0.411680E+00
  3579   0.785653E+01   0.284161E+00   0.922652E-02  -0.411252E+00
  3580   0.784160E+01   0.283384E+00   0.921779E-02  -0.410818E+00
  3581   0.782676E+01   0.282619E+00   0.920907E-02  -0.410370E+00
  3582   0.781195E+01   0.281851E+00   0.920036E-02  -0.409908E+00
  3583   0.779717E+01   0.281072E+00   0.919167E-02  -0.409439E+00
  3584   0.778250E+01   0.280298E+00   0.918298E-02  -0.408964E+00
  3585   0.776785E+01   0.279519E+00   0.917431E-02  -0.408475E+00
  3586   0.775332E+01   0.278745E+00   0.916564E-02  -0.407971E+00
  3587   0.773874E+01   0.277973E+00   0.915699E-02  -0.407460E+00
  3588   0.772421E+01   0.277190E+00   0.914835E-02  -0.406935E+00
  3589   0.770979E+01   0.276410E+00   0.913972E-02  -0.406402E+00
  3590   0.769549E+01   0.275639E+00   0.913110E-02  -0.405862E+00
  3591   0.768109E+01   0.274857E+00   0.912250E-02  -0.405299E+00
  3592   0.766688E+01   0.274076E+00   0.911390E-02  -0.404735E+00
  3593   0.765257E+01   0.273298E+00   0.910531E-02  -0.404156E+00
  3594   0.763832E+01   0.272521E+00   0.909673E-02  -0.403561E+00
  3595   0.762404E+01   0.271738E+00   0.908817E-02  -0.402957E+00
  3596   0.760989E+01   0.270957E+00   0.907961E-02  -0.402321E+00
  3597   0.759587E+01   0.270176E+00   0.907107E-02  -0.401706E+00
  3598   0.758176E+01   0.269397E+00   0.906254E-02  -0.401073E+00
  3599   0.756771E+01   0.268618E+00   0.905402E-02  -0.400416E+00
  3600   0.755372E+01   0.267831E+00   0.904550E-02  -0.399777E+00
  3601   0.753972E+01   0.267053E+00   0.903700E-02  -0.399113E+00
  3602   0.752578E+01   0.266274E+00   0.902851E-02  -0.398431E+00
  3603   0.751183E+01   0.265488E+00   0.902003E-02  -0.397737E+00
  3604   0.749794E+01   0.264709E+00   0.901156E-02  -0.397039E+00
  3605   0.748413E+01   0.263929E+00   0.900310E-02  -0.396321E+00
  3606   0.747031E+01   0.263148E+00   0.899465E-02  -0.395599E+00
  3607   0.745648E+01   0.262367E+00   0.898622E-02  -0.394857E+00
  3608   0.744280E+01   0.261591E+00   0.897779E-02  -0.394117E+00
  3609   0.742905E+01   0.260807E+00   0.896937E-02  -0.393363E+00
  3610   0.741529E+01   0.260035E+00   0.896096E-02  -0.392589E+00
  3611   0.740154E+01   0.259262E+00   0.895257E-02  -0.391808E+00
  3612   0.738786E+01   0.258480E+00   0.894418E-02  -0.391027E+00
  3613   0.737418E+01   0.257703E+00   0.893581E-02  -0.390224E+00
  3614   0.736059E+01   0.256931E+00   0.892744E-02  -0.389429E+00
  3615   0.734700E+01   0.256156E+00   0.891909E-02  -0.388610E+00
  3616   0.733335E+01   0.255386E+00   0.891074E-02  -0.387775E+00
  3617   0.731977E+01   0.254613E+00   0.890241E-02  -0.386947E+00
  3618   0.730621E+01   0.253845E+00   0.889409E-02  -0.386101E+00
  3619   0.729273E+01   0.253073E+00   0.888577E-02  -0.385245E+00
  3620   0.727927E+01   0.252306E+00   0.887747E-02  -0.384387E+00
  3621   0.726575E+01   0.251542E+00   0.886918E-02  -0.383510E+00
  3622   0.725224E+01   0.250781E+00   0.886089E-02  -0.382629E+00
  3623   0.723875E+01   0.250025E+00   0.885262E-02  -0.381736E+00
  3624   0.722527E+01   0.249256E+00   0.884436E-02  -0.380846E+00
  3625   0.721174E+01   0.248506E+00   0.883610E-02  -0.379942E+00
  3626   0.719838E+01   0.247751E+00   0.882786E-02  -0.379025E+00
  3627   0.718496E+01   0.246999E+00   0.881963E-02  -0.378095E+00
  3628   0.717157E+01   0.246243E+00   0.881140E-02  -0.377172E+00
  3629   0.715820E+01   0.245496E+00   0.880319E-02  -0.376234E+00
  3630   0.714485E+01   0.244752E+00   0.879499E-02  -0.375287E+00
  3631   0.713146E+01   0.244002E+00   0.878679E-02  -0.374332E+00
  3632   0.711801E+01   0.243255E+00   0.877861E-02  -0.373375E+00
  3633   0.710474E+01   0.242517E+00   0.877043E-02  -0.372408E+00
  3634   0.709143E+01   0.241773E+00   0.876227E-02  -0.371438E+00
  3635   0.707814E+01   0.241039E+00   0.875411E-02  -0.370464E+00
  3636   0.706488E+01   0.240313E+00   0.874596E-02  -0.369470E+00
  3637   0.705158E+01   0.239574E+00   0.873783E-02  -0.368480E+00
  3638   0.703838E+01   0.238851E+00   0.872970E-02  -0.367476E+00
  3639   0.702513E+01   0.238130E+00   0.872158E-02  -0.366466E+00
  3640   0.701192E+01   0.237409E+00   0.871348E-02  -0.365457E+00
  3641   0.699866E+01   0.236689E+00   0.870538E-02  -0.364441E+00
  3642   0.698543E+01   0.235970E+00   0.869729E-02  -0.363408E+00
  3643   0.697231E+01   0.235259E+00   0.868921E-02  -0.362382E+00
  3644   0.695899E+01   0.234549E+00   0.868114E-02  -0.361347E+00
  3645   0.694585E+01   0.233847E+00   0.867308E-02  -0.360302E+00
  3646   0.693267E+01   0.233145E+00   0.866503E-02  -0.359253E+00
  3647   0.691959E+01   0.232436E+00   0.865699E-02  -0.358201E+00
  3648   0.690639E+01   0.231742E+00   0.864895E-02  -0.357144E+00
  3649   0.689329E+01   0.231048E+00   0.864093E-02  -0.356082E+00
  3650   0.688014E+01   0.230354E+00   0.863292E-02  -0.355022E+00
  3651   0.686710E+01   0.229667E+00   0.862491E-02  -0.353940E+00
  3652   0.685400E+01   0.228980E+00   0.861692E-02  -0.352873E+00
