#    L    TT             EE             BB             TE          
   163   0.480817E+04   0.101342E+01   0.891685E-02  -0.447622E+02
   164   0.483776E+04   0.100397E+01   0.903847E-02  -0.444642E+02
   165   0.486718E+04   0.994224E+00   0.916115E-02  -0.441383E+02
   166   0.489628E+04   0.984324E+00   0.928489E-02  -0.437858E+02
   167   0.492515E+04   0.974049E+00   0.940968E-02  -0.434075E+02
   168   0.495356E+04   0.963770E+00   0.953553E-02  -0.430012E+02
   169   0.498165E+04   0.953190E+00   0.966244E-02  -0.425667E+02
   170   0.500942E+04   0.942532E+00   0.979040E-02  -0.421057E+02
   171   0.503673E+04   0.931796E+00   0.991940E-02  -0.416157E+02
   172   0.506364E+04   0.920909E+00   0.100495E-01  -0.410983E+02
   173   0.509008E+04   0.909870E+00   0.101805E-01  -0.405534E+02
   174   0.511620E+04   0.898977E+00   0.103127E-01  -0.399811E+02
   175   0.514192E+04   0.887934E+00   0.104458E-01  -0.393805E+02
   176   0.516709E+04   0.876962E+00   0.105800E-01  -0.387517E+02
   177   0.519186E+04   0.865988E+00   0.107153E-01  -0.380960E+02
   178   0.521616E+04   0.855236E+00   0.108515E-01  -0.374122E+02
   179   0.523998E+04   0.844408E+00   0.109887E-01  -0.367001E+02
   180   0.526348E+04   0.833729E+00   0.111270E-01  -0.359612E+02
   181   0.528644E+04   0.823198E+00   0.112662E-01  -0.351957E+02
   182   0.530892E+04   0.812890E+00   0.114064E-01  -0.344019E+02
   183   0.533086E+04   0.802732E+00   0.115477E-01  -0.335814E+02
   184   0.535241E+04   0.792798E+00   0.116898E-01  -0.327335E+02
   185   0.537348E+04   0.783237E+00   0.118330E-01  -0.318604E+02
   186   0.539372E+04   0.773908E+00   0.119771E-01  -0.309591E+02
   187   0.541379E+04   0.764953E+00   0.121222E-01  -0.300311E+02
   188   0.543331E+04   0.756357E+00   0.122682E-01  -0.290780E+02
   189   0.545222E+04   0.748158E+00   0.124151E-01  -0.280983E+02
   190   0.547096E+04   0.740409E+00   0.125629E-01  -0.270941E+02
   191   0.548879E+04   0.733131E+00   0.127117E-01  -0.260626E+02
   192   0.550624E+04   0.726348E+00   0.128613E-01  -0.250060E+02
   193   0.552306E+04   0.720104E+00   0.130119E-01  -0.239257E+02
   194   0.553950E+04   0.714430E+00   0.131633E-01  -0.228196E+02
   195   0.555533E+04   0.709362E+00   0.133156E-01  -0.216899E+02
   196   0.557055E+04   0.704939E+00   0.134688E-01  -0.205359E+02
   197   0.558531E+04   0.701205E+00   0.136228E-01  -0.193590E+02
   198   0.559953E+04   0.698183E+00   0.137776E-01  -0.181585E+02
   199   0.561322E+04   0.695910E+00   0.139333E-01  -0.169352E+02
   200   0.562638E+04   0.694416E+00   0.140897E-01  -0.156899E+02
   201   0.563893E+04   0.693762E+00   0.142470E-01  -0.144217E+02
   202   0.565094E+04   0.693954E+00   0.144051E-01  -0.131323E+02
   203   0.566235E+04   0.695053E+00   0.145639E-01  -0.118208E+02
   204   0.567308E+04   0.697082E+00   0.147236E-01  -0.104903E+02
   205   0.568327E+04   0.700086E+00   0.148839E-01  -0.913853E+01
   206   0.569278E+04   0.704103E+00   0.150450E-01  -0.776678E+01
   207   0.570176E+04   0.709156E+00   0.152069E-01  -0.637550E+01
   208   0.570999E+04   0.715297E+00   0.153694E-01  -0.496523E+01
   209   0.571760E+04   0.722549E+00   0.155327E-01  -0.353636E+01
   210   0.572461E+04   0.730965E+00   0.156967E-01  -0.208980E+01
   211   0.573101E+04   0.740575E+00   0.158613E-01  -0.625606E+00
   212   0.573666E+04   0.751410E+00   0.160266E-01   0.855260E+00
   213   0.574177E+04   0.763514E+00   0.161925E-01   0.235283E+01
   214   0.574620E+04   0.776880E+00   0.163591E-01   0.386590E+01
   215   0.575003E+04   0.791703E+00   0.165263E-01   0.539370E+01
   216   0.575317E+04   0.807796E+00   0.166941E-01   0.693674E+01
   217   0.575578E+04   0.825317E+00   0.168624E-01   0.849301E+01
   218   0.575770E+04   0.844266E+00   0.170314E-01   0.100627E+02
   219   0.575902E+04   0.864644E+00   0.172009E-01   0.116468E+02
   220   0.575974E+04   0.886598E+00   0.173709E-01   0.132408E+02
   221   0.575984E+04   0.910057E+00   0.175415E-01   0.148470E+02
   222   0.575934E+04   0.935168E+00   0.177126E-01   0.164637E+02
   223   0.575808E+04   0.961857E+00   0.178841E-01   0.180919E+02
   224   0.575636E+04   0.990126E+00   0.180562E-01   0.197277E+02
   225   0.575396E+04   0.102012E+01   0.182287E-01   0.213741E+02
   226   0.575095E+04   0.105185E+01   0.184016E-01   0.230274E+02
   227   0.574726E+04   0.108530E+01   0.185749E-01   0.246890E+02
   228   0.574304E+04   0.112049E+01   0.187486E-01   0.263575E+02
   229   0.573821E+04   0.115748E+01   0.189227E-01   0.280314E+02
   230   0.573270E+04   0.119627E+01   0.190971E-01   0.297113E+02
   231   0.572651E+04   0.123694E+01   0.192719E-01   0.313966E+02
   232   0.571978E+04   0.127942E+01   0.194470E-01   0.330857E+02
   233   0.571244E+04   0.132392E+01   0.196224E-01   0.347772E+02
   234   0.570435E+04   0.137030E+01   0.197980E-01   0.364718E+02
   235   0.569573E+04   0.141864E+01   0.199739E-01   0.381679E+02
   236   0.568642E+04   0.146894E+01   0.201501E-01   0.398657E+02
   237   0.567650E+04   0.152126E+01   0.203264E-01   0.415635E+02
   238   0.566598E+04   0.157569E+01   0.205029E-01   0.432614E+02
   239   0.565493E+04   0.163207E+01   0.206796E-01   0.449586E+02
   240   0.564311E+04   0.169049E+01   0.208564E-01   0.466529E+02
   241   0.563084E+04   0.175108E+01   0.210333E-01   0.483450E+02
   242   0.561796E+04   0.181371E+01   0.212103E-01   0.500342E+02
   243   0.560448E+04   0.187851E+01   0.213874E-01   0.517190E+02
   244   0.559038E+04   0.194542E+01   0.215645E-01   0.534001E+02
   245   0.557568E+04   0.201452E+01   0.217416E-01   0.550745E+02
   246   0.556044E+04   0.208579E+01   0.219188E-01   0.567437E+02
   247   0.554468E+04   0.215917E+01   0.220959E-01   0.584055E+02
   248   0.552830E+04   0.223502E+01   0.222729E-01   0.600599E+02
   249   0.551146E+04   0.231284E+01   0.224499E-01   0.617061E+02
   250   0.549402E+04   0.239306E+01   0.226268E-01   0.633427E+02
   251   0.547611E+04   0.247539E+01   0.228036E-01   0.649702E+02
   252   0.545753E+04   0.256005E+01   0.229803E-01   0.665874E+02
   253   0.543863E+04   0.264682E+01   0.231567E-01   0.681926E+02
   254   0.541913E+04   0.273599E+01   0.233331E-01   0.697859E+02
   255   0.539910E+04   0.282726E+01   0.235092E-01   0.713672E+02
   256   0.537860E+04   0.292102E+01   0.236850E-01   0.729366E+02
   257   0.535765E+04   0.301681E+01   0.238607E-01   0.744857E+02
   258   0.533617E+04   0.311500E+01   0.240360E-01   0.760274E+02
   259   0.531423E+04   0.321544E+01   0.242111E-01   0.775466E+02
   260   0.529190E+04   0.331814E+01   0.243859E-01   0.790582E+02
   261   0.526905E+04   0.342302E+01   0.245603E-01   0.805400E+02
   262   0.524567E+04   0.353030E+01   0.247344E-01   0.820141E+02
   263   0.522212E+04   0.363976E+01   0.249081E-01   0.834733E+02
   264   0.519797E+04   0.375147E+01   0.250815E-01   0.849099E+02
   265   0.517329E+04   0.386537E+01   0.252544E-01   0.863167E+02
   266   0.514831E+04   0.398166E+01   0.254270E-01   0.877158E+02
   267   0.512279E+04   0.409998E+01   0.255991E-01   0.890849E+02
   268   0.509689E+04   0.422071E+01   0.257707E-01   0.904390E+02
   269   0.507046E+04   0.434354E+01   0.259419E-01   0.917705E+02
   270   0.504380E+04   0.446854E+01   0.261126E-01   0.930794E+02
   271   0.501669E+04   0.459565E+01   0.262829E-01   0.943658E+02
   272   0.498934E+04   0.472516E+01   0.264526E-01   0.956222E+02
   273   0.496154E+04   0.485648E+01   0.266218E-01   0.968635E+02
   274   0.493344E+04   0.499019E+01   0.267904E-01   0.980673E+02
   275   0.490495E+04   0.512579E+01   0.269586E-01   0.992559E+02
   276   0.487623E+04   0.526348E+01   0.271261E-01   0.100407E+03
   277   0.484706E+04   0.540328E+01   0.272931E-01   0.101543E+03
   278   0.481766E+04   0.554511E+01   0.274595E-01   0.102641E+03
   279   0.478795E+04   0.568889E+01   0.276253E-01   0.103710E+03
   280   0.475794E+04   0.583463E+01   0.277905E-01   0.104763E+03
   281   0.472778E+04   0.598239E+01   0.279551E-01   0.105779E+03
   282   0.469715E+04   0.613189E+01   0.281191E-01   0.106764E+03
   283   0.466638E+04   0.628333E+01   0.282825E-01   0.107720E+03
   284   0.463537E+04   0.643666E+01   0.284452E-01   0.108645E+03
   285   0.460414E+04   0.659187E+01   0.286072E-01   0.109540E+03
   286   0.457260E+04   0.674880E+01   0.287687E-01   0.110398E+03
   287   0.454083E+04   0.690747E+01   0.289294E-01   0.111233E+03
   288   0.450890E+04   0.706787E+01   0.290895E-01   0.112030E+03
   289   0.447675E+04   0.722992E+01   0.292489E-01   0.112797E+03
   290   0.444444E+04   0.739349E+01   0.294076E-01   0.113534E+03
   291   0.441198E+04   0.755930E+01   0.295656E-01   0.114226E+03
   292   0.437907E+04   0.772625E+01   0.297229E-01   0.114895E+03
   293   0.434630E+04   0.789397E+01   0.298795E-01   0.115519E+03
   294   0.431322E+04   0.806394E+01   0.300355E-01   0.116120E+03
   295   0.428022E+04   0.823467E+01   0.301907E-01   0.116676E+03
   296   0.424691E+04   0.840766E+01   0.303451E-01   0.117202E+03
   297   0.421352E+04   0.858067E+01   0.304989E-01   0.117698E+03
   298   0.417991E+04   0.875593E+01   0.306519E-01   0.118148E+03
   299   0.414629E+04   0.893271E+01   0.308042E-01   0.118561E+03
   300   0.411251E+04   0.910950E+01   0.309558E-01   0.118937E+03
   301   0.407866E+04   0.928781E+01   0.311066E-01   0.119281E+03
   302   0.404480E+04   0.946689E+01   0.312567E-01   0.119596E+03
   303   0.401087E+04   0.964747E+01   0.314061E-01   0.119866E+03
   304   0.397686E+04   0.982956E+01   0.315547E-01   0.120090E+03
   305   0.394284E+04   0.100117E+02   0.317025E-01   0.120284E+03
   306   0.390874E+04   0.101945E+02   0.318496E-01   0.120440E+03
   307   0.387464E+04   0.103782E+02   0.319960E-01   0.120552E+03
   308   0.384054E+04   0.105640E+02   0.321416E-01   0.120640E+03
   309   0.380651E+04   0.107492E+02   0.322864E-01   0.120676E+03
   310   0.377241E+04   0.109343E+02   0.324305E-01   0.120682E+03
   311   0.373837E+04   0.111217E+02   0.325738E-01   0.120642E+03
   312   0.370441E+04   0.113084E+02   0.327164E-01   0.120573E+03
   313   0.367045E+04   0.114958E+02   0.328583E-01   0.120458E+03
   314   0.363655E+04   0.116840E+02   0.329993E-01   0.120313E+03
   315   0.360274E+04   0.118714E+02   0.331397E-01   0.120122E+03
   316   0.356899E+04   0.120596E+02   0.332793E-01   0.119895E+03
   317   0.353532E+04   0.122470E+02   0.334181E-01   0.119629E+03
   318   0.350172E+04   0.124360E+02   0.335562E-01   0.119326E+03
   319   0.346827E+04   0.126242E+02   0.336936E-01   0.118985E+03
   320   0.343497E+04   0.128124E+02   0.338303E-01   0.118614E+03
   321   0.340174E+04   0.130013E+02   0.339662E-01   0.118197E+03
   322   0.336866E+04   0.131888E+02   0.341015E-01   0.117744E+03
   323   0.333573E+04   0.133762E+02   0.342360E-01   0.117252E+03
   324   0.330295E+04   0.135644E+02   0.343698E-01   0.116715E+03
   325   0.327040E+04   0.137496E+02   0.345030E-01   0.116156E+03
   326   0.323791E+04   0.139363E+02   0.346354E-01   0.115544E+03
   327   0.320566E+04   0.141223E+02   0.347672E-01   0.114901E+03
   328   0.317362E+04   0.143068E+02   0.348983E-01   0.114229E+03
